network	station_id	station_name	station_type	owner	lat	lon
NOAA CO-OPS	8771972	San Luis Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	29.095	-95.1133
NOAA CO-OPS	8772471	Freeport Harbor	meteorology,water_level,water_temperature	NOAA CO-OPS	28.9357	-95.2942
NOAA CO-OPS	8773037	Seadrift	meteorology,water_level,water_temperature	NOAA CO-OPS	28.4069	-96.7124
NOAA CO-OPS	8773146	Matagorda City	meteorology,water_level,water_temperature	NOAA CO-OPS	28.71	-95.9139
NOAA CO-OPS	8773259	Port Lavaca	meteorology,water_level,water_temperature	NOAA CO-OPS	28.6406	-96.6098
NOAA CO-OPS	8773701	Port O'Connor	meteorology,water_level,water_temperature	NOAA CO-OPS	28.4517	-96.3883
NOAA CO-OPS	8773767	Matagorda Bay Entrance Channel	meteorology,water_level,water_temperature	NOAA CO-OPS	28.4269	-96.3301
NOAA CO-OPS	8774230	Aransas Wildlife Refuge	meteorology,water_level,water_temperature	NOAA CO-OPS	28.2283	-96.795
NOAA CO-OPS	8774513	Copano Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	28.118305	-97.0217
NOAA CO-OPS	8774770	Rockport	meteorology,water_level,water_temperature	NOAA CO-OPS	28.021667	-97.04667
NOAA CO-OPS	8775132	La Quinta Channel North	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8804	-97.2735
NOAA CO-OPS	8775222	Viola Turning Basin	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8461	-97.5207
NOAA CO-OPS	8775237	Port Aransas	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8397	-97.0725
NOAA CO-OPS	8775241	Aransas, Aransas Pass	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8366	-97.0391
NOAA CO-OPS	8775283	Enbridge, Ingleside	meteorology,water_level,water_temperature	NOAA CO-OPS	27.818611	-97.20895
NOAA CO-OPS	8775296	USS Lexington, Corpus Christi Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	27.8149	-97.3892
NOAA CO-OPS	8775792	Packery Channel	meteorology,water_level,water_temperature	NOAA CO-OPS	27.6333	-97.2367
NOAA CO-OPS	8775870	Bob Hall Pier, Corpus Christi	water_temperature	NOAA CO-OPS	27.58	-97.2167
NOAA CO-OPS	8776139	S. Bird Island	meteorology,water_level,water_temperature	NOAA CO-OPS	27.484362	-97.31811
NOAA CO-OPS	8776604	Baffin Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	27.297	-97.40517
NOAA CO-OPS	8777812	Rincon Del San Jose	meteorology,water_level,water_temperature	NOAA CO-OPS	26.801195	-97.47056
NOAA CO-OPS	8778490	Port Mansfield	meteorology,water_level,water_temperature	NOAA CO-OPS	26.557638	-97.42572
NOAA CO-OPS	8779280	Realitos Peninsula	meteorology,water_level,water_temperature	NOAA CO-OPS	26.2624	-97.2853
NOAA CO-OPS	8779748	South Padre Island CG Station	meteorology,water_level,water_temperature	NOAA CO-OPS	26.0731	-97.1675
NOAA CO-OPS	8779749	SPI Brazos Santiago	meteorology,water_level,water_temperature	NOAA CO-OPS	26.0675	-97.1548
NOAA CO-OPS	8779770	Port Isabel	meteorology,water_level,water_temperature	NOAA CO-OPS	26.061167	-97.21553
NOAA CO-OPS	9014070	Algonac	meteorology,water_level,water_temperature	NOAA CO-OPS	42.621113	-82.526665
NOAA CO-OPS	9052000	Cape Vincent	meteorology,water_level,water_temperature	NOAA CO-OPS	44.13028	-76.33222
NOAA CO-OPS	9063020	Buffalo	meteorology,water_level,water_temperature	NOAA CO-OPS	42.877445	-78.89047
NOAA CO-OPS	9063053	Fairport	meteorology,water_level,water_temperature	NOAA CO-OPS	41.75975	-81.28106
NOAA CO-OPS	9063063	Cleveland	meteorology,water_level,water_temperature	NOAA CO-OPS	41.54086	-81.635475
NOAA CO-OPS	9063079	Marblehead	meteorology,water_level,water_temperature	NOAA CO-OPS	41.54364	-82.73139
NOAA CO-OPS	9063085	Toledo	meteorology,water_level,water_temperature	NOAA CO-OPS	41.693554	-83.472275
NOAA CO-OPS	9075014	Harbor Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	43.84639	-82.64306
NOAA CO-OPS	9075065	Alpena	meteorology,water_level,water_temperature	NOAA CO-OPS	45.063	-83.4286
NOAA CO-OPS	9075080	Mackinaw City	meteorology,water_level,water_temperature	NOAA CO-OPS	45.77722	-84.72111
NOAA CO-OPS	9075099	De Tour Village	meteorology,water_level,water_temperature	NOAA CO-OPS	45.9925	-83.8982
NOAA CO-OPS	9076024	Rock Cut	meteorology,water_level,water_temperature	NOAA CO-OPS	46.264805	-84.19119
NOAA CO-OPS	9076027	West Neebish Island	meteorology,water_level,water_temperature	NOAA CO-OPS	46.28469	-84.20981
NOAA CO-OPS	9076033	Little Rapids	meteorology,water_level,water_temperature	NOAA CO-OPS	46.485832	-84.30167
NOAA CO-OPS	9076070	S.W. Pier, St. Marys River	meteorology,water_level,water_temperature	NOAA CO-OPS	46.50111	-84.37261
NOAA CO-OPS	9087031	Holland	meteorology,water_level,water_temperature	NOAA CO-OPS	42.773335	-86.212776
NOAA CO-OPS	9087088	Menominee	meteorology,water_level,water_temperature	NOAA CO-OPS	45.09589	-87.58994
NOAA CO-OPS	9087096	Port Inland	meteorology,water_level,water_temperature	NOAA CO-OPS	45.96989	-85.8715
NOAA CO-OPS	9099064	Duluth	meteorology,water_level,water_temperature	NOAA CO-OPS	46.77575	-92.092026
NOAA CO-OPS	9099090	Grand Marais, Lake Superior	meteorology,water_level,water_temperature	NOAA CO-OPS	47.748554	-90.34128
NOAA CO-OPS	9410170	San Diego	meteorology,water_level,water_temperature	NOAA CO-OPS	32.715557	-117.17667
NOAA CO-OPS	9410230	La Jolla	meteorology,water_level,water_temperature	NOAA CO-OPS	32.86689	-117.25714
NOAA CO-OPS	9410660	Los Angeles	meteorology,water_level,water_temperature	NOAA CO-OPS	33.72	-118.272
NOAA CO-OPS	9410840	Santa Monica	meteorology,water_level,water_temperature	NOAA CO-OPS	34.0083	-118.5
NOAA CO-OPS	9412110	Port San Luis	meteorology,water_level,water_temperature	NOAA CO-OPS	35.168888	-120.754166
NOAA CO-OPS	9413450	Monterey	meteorology,water_level,water_temperature	NOAA CO-OPS	36.60889	-121.89139
NOAA CO-OPS	9414290	San Francisco	meteorology,water_level,water_temperature	NOAA CO-OPS	37.806305	-122.46589
NOAA CO-OPS	9414523	Redwood City	meteorology,water_level,water_temperature	NOAA CO-OPS	37.506813	-122.21191
NOAA CO-OPS	9414750	Alameda	meteorology,water_level,water_temperature	NOAA CO-OPS	37.771954	-122.30026
NOAA CO-OPS	9414863	Richmond	meteorology,water_level,water_temperature	NOAA CO-OPS	37.9283	-122.4
NOAA CO-OPS	9415020	Point Reyes	meteorology,water_level,water_temperature	NOAA CO-OPS	37.994167	-122.97361
